province,type_property,property_url,property_id,subtype_property,type_of_contract,postal_code,city
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1150/sint-pieters-woluwe/vbe35189,vbe35189,residence,sale,1150,sint-pieters-woluwe
brussels,Apartment,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbe35095,vbe35095,duplex,sale,1000,brussels
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1210/sint-joost-ten-node/vbe35094,vbe35094,apartment,sale,1210,sint-joost-ten-node
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35040,vbe35040,apartment,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbe34837,vbe34837,apartment,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/studio/for-sale/1210/sint-joost-ten-node/vbe34652,vbe34652,studio,sale,1210,sint-joost-ten-node
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe34650,vbe34650,apartment,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/studio/for-sale/1180/ukkel/rbw19605,rbw19605,studio,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/duplex/for-sale/1070/anderlecht/vbe34263,vbe34263,duplex,sale,1070,anderlecht
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1160/oudergem/vbe34034,vbe34034,mixed-building,sale,1160,oudergem
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34000,vbe34000,apartment,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe33925,vbe33925,apartment,sale,1000,brussels
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1080/sint-jans-molenbeek/vbe33924,vbe33924,mixed-building,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/rbw17015,rbw17015,apartment,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbe32723,vbe32723,apartment,sale,1160,oudergem
brussels,Apartment,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbe32699,vbe32699,studio,sale,1000,brussels
brussels,Apartment,https://immovlan.be/en/detail/ground-floor/for-sale/1050/elsene/vbe32440,vbe32440,ground-floor,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbe32420,vbe32420,apartment,sale,1083,ganshoren
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe32350,vbe32350,apartment,sale,1140,evere
brussels,House,https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbe31984,vbe31984,master-house,sale,1000,brussels
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1060/sint-gillis/vbe31787,vbe31787,mixed-building,sale,1060,sint-gillis
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/rbw12367,rbw12367,apartment,sale,1030,schaarbeek
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1190/vorst/vbd27505,vbd27505,residence,sale,1190,vorst
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe30735,vbe30735,apartment,sale,1140,evere
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1080/sint-jans-molenbeek/vbe09500,vbe09500,mixed-building,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbe24737,vbe24737,apartment,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe29392,vbe29392,apartment,sale,1000,brussels
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbd80920,vbd80920,residence,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe36231,vbe36231,apartment,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe36230,vbe36230,apartment,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe36229,vbe36229,apartment,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe36228,vbe36228,apartment,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe36227,vbe36227,apartment,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe36226,vbe36226,apartment,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe36225,vbe36225,apartment,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1060/sint-gillis/vwd17873,vwd17873,apartment,sale,1060,sint-gillis
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1082/berchem-sainte-agathe/vbe36209,vbe36209,residence,sale,1082,berchem-sainte-agathe
brussels,Apartment,https://immovlan.be/en/detail/apartment/in-public-sale/1040/etterbeek/vbe36207,vbe36207,apartment,sale,1040,etterbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1060/sint-gillis/vbe36133,vbe36133,apartment,sale,1060,sint-gillis
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1060/sint-gillis/vbe36132,vbe36132,apartment,sale,1060,sint-gillis
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe36131,vbe36131,apartment,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe36130,vbe36130,apartment,sale,1000,brussels
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1090/jette/vbe36129,vbe36129,residence,sale,1090,jette
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe36125,vbe36125,apartment,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe36106,vbe36106,apartment,sale,1030,schaarbeek
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1210/sint-joost-ten-node/vbe36095,vbe36095,mixed-building,sale,1210,sint-joost-ten-node
brussels,Apartment,https://immovlan.be/en/detail/studio/for-sale/1180/ukkel/vbe36071,vbe36071,studio,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/ground-floor/for-sale/1180/ukkel/vbe36070,vbe36070,ground-floor,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbe36067,vbe36067,apartment,sale,1200,sint-lambrechts-woluwe
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1210/sint-joost-ten-node/vbe36053,vbe36053,mixed-building,sale,1210,sint-joost-ten-node
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbe36036,vbe36036,apartment,sale,1090,jette
brussels,Apartment,https://immovlan.be/en/detail/penthouse/for-sale/1200/sint-lambrechts-woluwe/vbe36021,vbe36021,penthouse,sale,1200,sint-lambrechts-woluwe
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbe36015,vbe36015,apartment,sale,1080,sint-jans-molenbeek
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbe36000,vbe36000,residence,sale,1020,laken
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35996,vbe35996,apartment,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbe35995,vbe35995,apartment,sale,1040,etterbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35993,vbe35993,apartment,sale,1050,elsene
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1050/elsene/vbe35987,vbe35987,mixed-building,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe35986,vbe35986,apartment,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe35982,vbe35982,apartment,sale,1000,brussels
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1160/oudergem/vbe35980,vbe35980,residence,sale,1160,oudergem
brussels,Apartment,https://immovlan.be/en/detail/penthouse/for-sale/1180/ukkel/vbe35979,vbe35979,penthouse,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35970,vbe35970,apartment,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/ground-floor/for-sale/1180/ukkel/vbe35967,vbe35967,ground-floor,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1150/sint-pieters-woluwe/vbe35961,vbe35961,apartment,sale,1150,sint-pieters-woluwe
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe35958,vbe35958,apartment,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/ground-floor/for-sale/1030/schaarbeek/vbe35954,vbe35954,ground-floor,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe35952,vbe35952,apartment,sale,1000,brussels
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1081/koekelberg/vbe35945,vbe35945,apartment,sale,1081,koekelberg
brussels,Apartment,https://immovlan.be/en/detail/triplex/for-sale/1050/elsene/vbe35944,vbe35944,triplex,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe35942,vbe35942,apartment,sale,1070,anderlecht
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1030/schaarbeek/vbe35937,vbe35937,mixed-building,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1081/koekelberg/vbe35933,vbe35933,apartment,sale,1081,koekelberg
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1040/etterbeek/vbe35931,vbe35931,residence,sale,1040,etterbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe35911,vbe35911,apartment,sale,1020,laken
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe35910,vbe35910,apartment,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/penthouse/for-sale/1040/etterbeek/vbe35909,vbe35909,penthouse,sale,1040,etterbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe35907,vbe35907,apartment,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35905,vbe35905,apartment,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/penthouse/for-sale/1200/sint-lambrechts-woluwe/vbe35903,vbe35903,penthouse,sale,1200,sint-lambrechts-woluwe
brussels,Apartment,https://immovlan.be/en/detail/ground-floor/for-sale/1140/evere/vbe35901,vbe35901,ground-floor,sale,1140,evere
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbe35879,vbe35879,apartment,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbe35878,vbe35878,apartment,sale,1082,berchem-sainte-agathe
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1070/anderlecht/rbw24648,rbw24648,residence,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/vbe35872,vbe35872,apartment,sale,1120,neder-over-heembeek
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1070/anderlecht/rbw24647,rbw24647,residence,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbe35868,vbe35868,apartment,sale,1200,sint-lambrechts-woluwe
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe35864,vbe35864,apartment,sale,1030,schaarbeek
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1200/sint-lambrechts-woluwe/vbe35852,vbe35852,residence,sale,1200,sint-lambrechts-woluwe
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1080/sint-jans-molenbeek/rbw24639,rbw24639,residence,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbe35799,vbe35799,apartment,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbe35796,vbe35796,apartment,sale,1082,berchem-sainte-agathe
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35771,vbe35771,apartment,sale,1050,elsene
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1160/oudergem/vbe35743,vbe35743,residence,sale,1160,oudergem
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe35740,vbe35740,apartment,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe35738,vbe35738,apartment,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe35734,vbe35734,apartment,sale,1020,laken
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe35725,vbe35725,apartment,sale,1020,laken
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbe35723,vbe35723,residence,sale,1180,ukkel
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbe35701,vbe35701,residence,sale,1000,brussels
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbe35676,vbe35676,apartment,sale,1200,sint-lambrechts-woluwe
brussels,Apartment,https://immovlan.be/en/detail/duplex/for-sale/1083/ganshoren/vbe35675,vbe35675,duplex,sale,1083,ganshoren
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbe35673,vbe35673,apartment,sale,1083,ganshoren
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbe35672,vbe35672,apartment,sale,1083,ganshoren
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbe35671,vbe35671,apartment,sale,1083,ganshoren
brussels,House,https://immovlan.be/en/detail/villa/for-sale/1180/ukkel/vbe35660,vbe35660,villa,sale,1180,ukkel
brussels,House,https://immovlan.be/en/detail/villa/for-sale/1180/ukkel/vwd17855,vwd17855,villa,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe35651,vbe35651,apartment,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe35646,vbe35646,apartment,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe35644,vbe35644,apartment,sale,1070,anderlecht
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbe35643,vbe35643,residence,sale,1020,laken
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35614,vbe35614,apartment,sale,1050,elsene
